iter	Passed	Remaining
0	163	162984
1	165	82826
2	168	55889
3	169	42284
4	171	34086
5	173	28667
6	175	24886
7	176	21922
8	178	19632
9	179	17763
10	180	16230
11	181	14951
12	182	13871
13	183	12949
14	184	12147
15	186	11450
16	187	10846
17	188	10295
18	190	9815
19	191	9388
20	192	8988
21	193	8621
22	195	8294
23	196	7984
24	197	7696
25	198	7432
26	199	7187
27	200	6961
28	202	6765
29	203	6571
30	204	6401
31	206	6242
32	207	6086
33	208	5933
34	209	5789
35	211	5658
36	212	5532
37	213	5411
38	215	5301
39	216	5194
40	217	5092
41	219	5007
42	220	4913
43	221	4822
44	223	4734
45	224	4651
46	225	4573
47	226	4495
48	228	4427
49	229	4355
50	230	4288
51	232	4233
52	233	4172
53	234	4110
54	235	4050
55	236	3994
56	238	3938
57	239	3886
58	240	3840
59	241	3791
60	243	3742
61	244	3696
62	245	3651
63	247	3614
64	250	3598
65	252	3570
66	253	3532
67	255	3495
68	256	3459
69	259	3450
70	261	3416
71	262	3388
72	264	3365
73	266	3331
74	267	3297
75	268	3267
76	270	3237
77	271	3206
78	272	3176
79	274	3152
80	275	3128
81	277	3104
82	278	3073
83	279	3049
84	280	3024
85	282	2999
86	283	2976
87	284	2951
88	286	2927
89	287	2906
90	289	2888
91	291	2873
92	292	2854
93	294	2836
94	295	2815
95	296	2796
96	298	2775
97	299	2755
98	300	2736
99	302	2718
100	303	2705
101	306	2695
102	307	2681
103	309	2666
104	310	2650
105	312	2635
106	313	2620
107	315	2603
108	316	2590
109	318	2573
110	319	2556
111	320	2544
112	322	2531
113	325	2526
114	326	2513
115	327	2498
116	328	2480
117	329	2465
118	332	2459
119	334	2451
120	336	2444
121	337	2431
122	339	2422
123	341	2410
124	342	2397
125	343	2385
126	344	2370
127	346	2357
128	348	2352
129	350	2347
130	352	2339
131	354	2330
132	355	2317
133	357	2307
134	358	2296
135	359	2286
136	361	2276
137	362	2266
138	364	2255
139	365	2247
140	367	2238
141	368	2227
142	369	2217
143	371	2206
144	372	2196
145	374	2188
146	375	2177
147	376	2167
148	377	2157
149	379	2148
150	381	2142
151	382	2134
152	384	2126
153	385	2116
154	386	2107
155	388	2100
156	389	2092
157	390	2083
158	392	2075
159	393	2067
160	398	2074
161	400	2072
162	402	2067
163	404	2064
164	408	2066
165	414	2082
166	416	2076
167	418	2070
168	419	2062
169	420	2053
170	422	2045
171	423	2038
172	425	2031
173	426	2025
174	427	2017
175	429	2010
176	430	2002
177	431	1994
178	433	1987
179	434	1980
180	436	1973
181	437	1967
182	439	1960
183	440	1954
184	442	1948
185	443	1943
186	445	1936
187	446	1930
188	448	1924
189	449	1918
190	451	1911
191	452	1904
192	453	1897
193	455	1892
194	456	1886
195	458	1880
196	459	1873
197	461	1867
198	462	1862
199	463	1855
200	465	1849
201	466	1843
202	468	1837
203	469	1831
204	471	1827
205	472	1822
206	474	1817
207	475	1811
208	477	1805
209	478	1800
210	479	1794
211	481	1789
212	482	1783
213	483	1777
214	485	1774
215	487	1770
216	489	1765
217	490	1760
218	492	1754
219	493	1750
220	495	1745
221	496	1740
222	497	1734
223	499	1730
224	501	1728
225	503	1724
226	504	1719
227	506	1714
228	507	1709
229	509	1705
230	511	1701
231	513	1698
232	517	1701
233	518	1698
234	520	1694
235	523	1694
236	526	1696
237	529	1696
238	531	1692
239	534	1691
240	535	1687
241	538	1685
242	539	1681
243	541	1678
244	543	1674
245	545	1672
246	547	1668
247	549	1665
248	550	1661
249	552	1657
250	554	1653
251	556	1650
252	558	1647
253	559	1644
254	562	1643
255	564	1639
256	566	1636
257	567	1633
258	569	1629
259	571	1625
260	572	1622
261	575	1619
262	578	1621
263	580	1617
264	581	1613
265	585	1614
266	586	1611
267	588	1607
268	590	1604
269	592	1601
270	595	1601
271	597	1599
272	599	1596
273	601	1594
274	603	1592
275	606	1590
276	608	1587
277	610	1584
278	612	1582
279	614	1580
280	616	1577
281	619	1576
282	622	1577
283	624	1574
284	626	1572
285	628	1568
286	630	1565
287	632	1563
288	635	1562
289	637	1561
290	639	1558
291	641	1554
292	643	1551
293	644	1548
294	647	1546
295	651	1548
296	653	1546
297	656	1545
298	658	1543
299	660	1542
300	663	1540
301	666	1540
302	668	1538
303	671	1536
304	673	1534
305	675	1532
306	678	1530
307	681	1531
308	684	1529
309	686	1527
310	688	1525
311	690	1523
312	692	1520
313	696	1520
314	698	1519
315	700	1517
316	703	1515
317	705	1513
318	707	1510
319	710	1510
320	712	1508
321	715	1505
322	717	1503
323	719	1501
324	721	1499
325	724	1497
326	726	1495
327	728	1493
328	730	1490
329	733	1489
330	735	1487
331	737	1484
332	741	1485
333	743	1483
334	745	1480
335	748	1479
336	750	1476
337	752	1473
338	755	1473
339	757	1471
340	759	1468
341	761	1465
342	764	1463
343	766	1461
344	768	1458
345	772	1460
346	774	1458
347	777	1455
348	779	1453
349	781	1450
350	783	1448
351	786	1448
352	788	1445
353	790	1443
354	793	1440
355	795	1438
356	797	1435
357	799	1433
358	802	1432
359	804	1429
360	806	1426
361	807	1424
362	809	1421
363	811	1418
364	813	1415
365	817	1415
366	819	1412
367	821	1410
368	823	1407
369	824	1404
370	826	1401
371	828	1398
372	830	1396
373	832	1394
374	834	1391
375	836	1388
376	838	1386
377	840	1383
378	842	1380
379	844	1378
380	847	1376
381	849	1373
382	850	1370
383	852	1367
384	854	1364
385	855	1361
386	857	1358
387	859	1356
388	861	1353
389	863	1350
390	865	1347
391	867	1344
392	868	1341
393	870	1338
394	872	1335
395	873	1333
396	876	1331
397	878	1328
398	880	1326
399	882	1323
400	884	1321
401	886	1318
402	888	1316
403	891	1314
404	893	1312
405	895	1309
406	897	1307
407	898	1304
408	900	1301
409	902	1299
410	905	1297
411	907	1295
412	909	1293
413	911	1290
414	913	1288
415	915	1285
416	917	1283
417	920	1281
418	922	1279
419	924	1276
420	926	1273
421	928	1271
422	930	1269
423	932	1266
424	934	1264
425	937	1263
426	939	1260
427	941	1258
428	943	1256
429	945	1253
430	948	1251
431	950	1250
432	952	1247
433	955	1245
434	957	1243
435	958	1240
436	960	1238
437	962	1235
438	965	1234
439	967	1231
440	969	1228
441	971	1226
442	973	1224
443	976	1222
444	978	1219
445	983	1221
446	985	1219
447	987	1216
448	989	1214
449	993	1213
450	997	1213
451	999	1212
452	1002	1210
453	1005	1209
454	1011	1211
455	1013	1209
456	1015	1206
457	1017	1203
458	1019	1201
459	1021	1199
460	1023	1196
461	1025	1193
462	1027	1191
463	1029	1188
464	1030	1185
465	1032	1182
466	1033	1179
467	1035	1177
468	1038	1175
469	1042	1175
470	1044	1172
471	1046	1170
